City,Temperature (DegF),Cloudiness (%),Latitude,Longitude,Humidity (%),Wind Speed (mps)
Domoni,298.3,65,-12.26,44.53,70,6.84
Honiara,306.15,20,-9.43,159.95,66,5.1
Richards Bay,285.06,0,-28.78,32.04,54,2.38
Hailey,286.15,40,43.52,-114.32,54,4.6
Jamestown,283.96,1,42.1,-79.24,50,4.1
Margate,287.96,8,51.38,1.39,90,0.89
La Santisima Trinidad,295.01,61,-14.83,-64.9,84,4.47
East London,286.63,87,-33.02,27.91,35,2.63
Benguela,292.95,23,-12.58,13.41,87,2.97
Arraial do Cabo,297.03,0,-22.97,-42.03,82,2.01
Aktau,300.15,1,43.65,51.2,19,3.0
Hithadhoo,303.0,100,-0.6,73.08,73,7.98
Ribeira Grande,289.39,18,38.52,-28.7,73,6.54
Ponta do Sol,291.45,20,32.67,-17.1,72,1.0
Mataura,282.59,0,-46.19,168.86,64,1.79
Cape Town,284.04,20,-33.93,18.42,76,4.6
Albany,281.74,9,42.6,-73.97,64,1.4
Avarua,296.15,99,-21.21,-159.78,60,2.6
Iwanai,296.87,100,42.97,140.51,61,1.89
Thompson,292.15,75,55.74,-97.86,32,2.1
Karratha,300.38,0,-20.74,116.85,42,8.15
Saint Anthony,291.12,20,45.02,-93.22,42,5.7
Champerico,299.92,100,14.3,-91.92,79,3.14
Hobart,286.97,20,-42.88,147.33,50,7.2
Jalu,294.04,0,29.03,21.55,40,2.96
Carnarvon,293.3,0,-24.87,113.63,36,8.76
Kapaa,299.82,20,22.08,-159.32,61,7.7
Ushuaia,272.15,20,-54.8,-68.3,92,3.1
Tilichiki,284.87,6,60.47,166.1,54,2.98
Bluff,282.59,0,-46.6,168.33,64,1.79
New Norfolk,285.76,54,-42.78,147.06,67,2.68
Barrow,279.15,20,71.29,-156.79,75,2.6
South Bend,289.58,1,41.68,-86.25,48,1.5
Padang,303.55,14,-0.95,100.35,57,1.59
Narsaq,279.15,100,60.92,-46.05,87,3.1
Aripuanã,296.28,16,-9.17,-60.63,89,0.71
High Prairie,289.69,100,55.43,-116.49,91,2.63
Rio Casca,290.46,0,-20.23,-42.65,86,0.85
Hermanus,285.71,0,-34.42,19.23,46,4.03
Minuri,305.15,74,16.54,121.86,57,0.91
Punta Arenas,274.5,17,-53.15,-70.92,86,3.6
Dingle,303.19,100,11.0,122.67,68,3.8
Pevek,278.68,100,69.7,170.31,95,2.9
Rikitea,297.59,100,-23.12,-134.97,83,6.36
Vaini,297.15,75,-21.2,-175.2,69,5.1
Nikolskoye,285.51,0,59.7,30.79,76,1.6
Portland,286.55,75,45.52,-122.68,82,2.6
Vestmannaeyjar,281.11,64,63.44,-20.27,78,3.26
Bathsheba,300.15,20,13.22,-59.52,69,6.7
Yellowknife,291.04,75,62.46,-114.35,39,7.7
Yellowknife,291.04,75,62.46,-114.35,39,7.7
Mount Isa,300.15,0,-20.73,139.5,21,5.7
Tuktoyaktuk,287.15,75,69.45,-133.04,62,6.7
Tucuruí,297.01,64,-3.77,-49.67,84,1.52
Mgandu,286.13,0,-5.95,34.13,78,3.86
Busselton,290.15,81,-33.65,115.33,58,5.39
Sokolo,306.44,0,14.73,-6.12,36,2.13
Cherskiy,292.54,0,68.75,161.3,41,5.7
Houma,297.37,1,29.6,-90.72,78,1.5
Paita,291.45,32,-5.09,-81.11,81,4.02
Mitsamiouli,298.82,0,-11.38,43.28,67,5.81
Novoagansk,279.72,100,61.94,76.66,91,8.29
Mar del Plata,278.15,0,-38.0,-57.56,65,5.7
Dukat,290.35,100,62.55,155.55,37,1.11
Atuona,300.15,45,-9.8,-139.03,80,8.81
