Restaurant Name,Vicinity,Coordinates
Señor Froy´s,"Calle Filipinas 66, Barra de Navidad","(19.22, -104.7)"
Roulotte Heremoana,Taha Uku,"(-9.8, -139.03)"
"Iaorana Gelato Homemade Italian Ice Cream, internet point (WiFi free)","Vaitape, Bora Bora","(-16.48, -151.75)"
Le Bout du Monde,,"(-17.73, -149.15)"
Bimini Big John's,"Alice Town, North Bimini, North Bimini, Bahamas Alice Town Bimini","(25.72, -79.3)"
Taquería Lupita,"Av. Lázaro Cárdenas S/N junto a Materiales el Portón, San Pedro Pochutla","(15.74, -96.47)"
Hotel Tesoro Los Cabos,"Boulevard Paseo de la Marina LT 9 y 10, Marina, Cabo San Lucas","(22.89, -109.91)"
Hukilau Lanai,"520 Aleka Loop, Kapaʻa","(22.08, -159.32)"
Hungry's Food Van,The Valley,"(18.22, -63.06)"
بيت البيتزا,"3409 Umar Ibn Abdul Aziz Road, Buraydah","(26.33, 43.98)"
Subway,"11274 South Fortuna Road Suite L, Yuma","(32.66, -114.41)"
Paradise Cove Luau,"92-1089 Ali'inui Drive, Kapolei","(21.35, -158.09)"
كافتيريا ناصير,املج,"(25.02, 37.27)"
لقمینو | Loqmino,"Darab, 22 Bahman","(28.75, 54.54)"
birrieria El Shaddai,Ejido flor de mayo,"(25.38, -103.42)"
Little Caesars Pizza,"2620 Southwest 6th Avenue b, Topeka","(39.05, -95.68)"
Painted Pony Restaurant,"2 West Saint George Boulevard #22 Tower Building, St. George","(37.1, -113.58)"
Darchin Restaurant,Semnan,"(35.57, 53.4)"
Makutano Restaurant & Bar,Kilindoni,"(-7.91, 39.67)"
Restaurant Udiamoral,Oussouye,"(12.48, -16.55)"
Subway,"Avenida Intercomunal, El Tigre","(8.89, -64.17)"
Rozna Muscat روزنة مسقط,"Nazimuja, Muscat","(23.61, 58.59)"
مطعم مرزوقة,أحمد باشا، أبنوب، مركز أبنوب،,"(27.27, 31.15)"
Izzy's,176,"(-16.7, -151.02)"
حديقة ظلال إفريقيا,Abeche,"(13.83, 20.83)"
McDonald's,"Kornish Al Nile, Sheyakhah Thalethah, Qism Aswan","(24.09, 32.91)"
Manouchehri Traditional House And Hotel,"Kashan, Mohtasham, No. 49","(33.98, 51.44)"
Balankwace Tea And Indomie,beside katuzu Primary School,"(12.87, 11.05)"
Subway,"5204 Highway 1765 Suite H, Texas City","(29.37, -94.97)"
Apetahi Grill,"plus 13, 600","(-16.78, -151.5)"
Subway,"23268 Southwest 112th Avenue, Homestead","(25.54, -80.41)"
Hotel Sofitel Bora Bora Marara Beach Resort,"Vaitape, Nunue, Bora Bora","(-16.52, -151.75)"
El Mañanero Restaurante,"Octava Este, Burocrata, Cananea","(30.95, -110.3)"
